year,name,country,time,gender
1897,McDermott John J.John J. McDermott, United States United States (NY),175.1666667,0
1898,MacDonald Ronald J.Ronald J. MacDonald, Canada Canada,162,0
1899,Brignolia LawrenceLawrence Brignolia, United States United States (MA),174.6333333,0
1900,Caffery JohnJohn Jack Caffery, Canada Canada,159.7333333,0
1901,Caffery JohnJohn Jack Caffery, Canada Canada,149.3833333,0
1902,Mellor SammySammy Mellor, United States United States (NY),163.2,0
1903,Lorden JohnJohn Lorden, United States United States (MA),161.4833333,0
1904,Spring MichaelMichael Spring, United States United States (NY),158.0666667,0
1905,Lorz FrederickFrederick Lorz, United States United States (NY),158.4166667,0
1906,Ford TimTim Ford, United States United States (MA),165.75,0
1907,Longboat ThomasThomas Longboat, Canada Canada,144.4,0
1908,Morrissey ThomasThomas Morrissey, United States United States (NY),145.7166667,0
1909,Renaud HenriHenri Renaud, United States United States (NH),173.6,0
1910,Cameron FredFred Cameron, Canada Canada,148.8666667,0
1911,DeMar ClarenceClarence DeMar, United States United States (MA),141.65,0
1912,Ryan MichaelMichael J. Ryan, United States United States (NY),141.3,0
1913,Carlson FritzFritz Carlson, United States United States (MN),145.2333333,0
1914,Duffy JamesJames Duffy, Canada Canada,145.2333333,0
1915,Fabre EdouardEdouard Fabre, Canada Canada,151.6833333,0
1916,Roth ArthurArthur Roth, United States United States (MA),147.2666667,0
1917,Kennedy BillBill Kennedy, United States United States (NY),148.6166667,0
1918,Camp Devens, United States United States (MA),149.8833333,0
1919,Linder CarlCarl Linder, United States United States (MA),149.2166667,0
1920,Trivoulides PeterPeter Trivoulides, Greece Greece,149.5166667,0
1921,Zuna FrankFrank Zuna, United States United States (NY),138.95,0
1922,DeMar ClarenceClarence DeMar, United States United States (MA),138.1666667,0
1923,DeMar ClarenceClarence DeMar, United States United States (MA),143.7833333,0
1924,DeMar ClarenceClarence DeMar, United States United States (MA),149.6666667,0
1925,Mellor CharlesCharles Mellor, United States United States (IL),153,0
1926,Miles JohnnyJohnny Miles, Canada Canada,145.6666667,0
1927,DeMar ClarenceClarence DeMar, United States United States (MA),160.3666667,0
1928,DeMar ClarenceClarence DeMar, United States United States (MA),157.1166667,0
1929,Miles JohnnyJohnny Miles, Canada Canada,153.1333333,0
1930,DeMar ClarenceClarence DeMar, United States United States (MA),154.8,0
1931,Henigan JamesJames Henigan, United States United States (MA),166.75,0
1932,DeBruyn PaulPaul de Bruyn, Germany Germany,153.6,0
1933,Pawson Leslie S.Leslie S. Pawson, United States United States (RI),151.0166667,0
1934,Komonen DaveDave Komonen, Canada Canada,152.8833333,0
1935,Kelley John A.John A. Kelley, United States United States (MA),152.1166667,0
1936,Brown EllisonEllison Brown, United States United States (RI),153.6666667,0
1937,Young WalterWalter Young, Canada Canada,153.3333333,0
1938,Pawson Leslie S.Leslie S. Pawson, United States United States (RI),155.5666667,0
1939,Brown EllisonEllison Brown, United States United States (RI),148.85,0
1940,Cote GerardGerard Cote, Canada Canada,148.4666667,0
1941,Pawson Leslie S.Leslie S. Pawson, United States United States (RI),150.6333333,0
1942,Smith JoeJoe Smith, United States United States (MA),146.85,0
1943,Cote GerardGerard Cote, Canada Canada,148.4166667,0
1944,Cote GerardGerard Cote, Canada Canada,151.8333333,0
1945,Kelley John A.John A. Kelley, United States United States (MA),150.6666667,0
1946,Kyriakides StylianosStylianos Kyriakides, Greece Greece,149.45,0
1947,Suh Yun-bok, South Korea,145.65,0
1948,Cote GerardGerard Cote, Canada Canada,151.0333333,0
1949,Leandersson KarlGösta Leandersson, Sweden,151.8333333,0
1950,Ham Kee-Yong, South Korea,152.65,0
1951,Tanaka ShigekiShigeki Tanaka, Japan,147.75,0
1952,Florea DoroteoDoroteo Flores, Guatemala,151.8833333,0
1953,Yamada KeizoKeizo Yamada, Japan,138.85,0
1954,Karvonen VeikkoVeikko Karvonen, Finland,140.65,0
1955,Hamamura HideoHideo Hamamura, Japan,138.3666667,0
1956,Viskari AnttiAntti Viskari, Finland,134.2333333,0
1957,Kelley John J.John J. Kelley, United States United States (CT),140.0833333,0
1959,Oksanen EinoEino Oksanen, Finland,142.7,0
1960,Kotila PaavoPaavo Kotila, Finland,140.9,0
1961,Oksanen EinoEino Oksanen, Finland,143.65,0
1962,Oksanen EinoEino Oksanen, Finland,143.8,0
1963,Vandendriessche AureleAurele Vandendriessche, Belgium,138.9666667,0
1964,Vandendriessche AureleAurele Vandendriessche, Belgium,139.9833333,0
1965,Shigematsu MorioMorio Shigematsu, Japan,136.55,0
1966,Kimihara KenjiKenji Kimihara, Japan,137.1833333,0
1967,McKenzie DaveDave McKenzie, New Zealand,135.75,0
1968,Burfoot AmbyAmby Burfoot, United States United States (CT),142.2833333,0
1969,Unetani YoshiakiYoshiaki Unetani, Japan,133.8166667,0
1970,Hill Ron Ron Hill, United Kingdom,130.5,0
1971,Mejia AlvaroAlvaro Mejía, Colombia,138.75,0
1972,Suomalainen OlaviOlavi Suomalainen, Finland,135.65,0
1973,Anderson JonJon Anderson, United States United States (OR),136.05,0
1974,Cusack NeilNeil Cusack, Ireland,133.65,0
1975,Rodgers BillBill Rodgers, United States United States (MA),129.9166667,0
1976,Fultz JackJack Fultz, United States United States (VA),140.3166667,0
1977,Drayton JeromeJerome Drayton, Canada,134.7666667,0
1978,Rodgers BillBill Rodgers, United States United States (MA),130.2166667,0
1979,Rodgers BillBill Rodgers, United States United States (MA),129.45,0
1980,Rodgers BillBill Rodgers, United States United States (MA),132.1833333,0
1981,Seko ToshihikoToshihiko Seko, Japan,129.4333333,0
1982,Salazar AlbertoAlberto Salazar, United States United States (MA),128.8666667,0
1983,Meyer GregGreg Meyer, United States United States (MI),129,0
1984,Smith GeoffGeoff Smith, United Kingdom,130.5666667,0
1985,Smith GeoffGeoff Smith, United Kingdom,134.0833333,0
1986,de Castella RobertRobert de Castella, Australia,127.85,0
1987,Seko ToshihikoToshihiko Seko, Japan,131.8333333,0
1988,Hussein IbrahimIbrahim Hussein, Kenya,128.7166667,0
1989,Mekonnen AbebeAbebe Mekonnen, Ethiopia,129.1,0
1990,Bordin GelindoGelindo Bordin, Italy,128.3166667,0
1991,Hussein IbrahimIbrahim Hussein, Kenya,131.1,0
1992,Hussein IbrahimIbrahim Hussein, Kenya,128.2333333,0
1993,Ndeti CosmasCosmas Ndeti, Kenya,129.55,0
1994,Ndeti CosmasCosmas Ndeti, Kenya,127.25,0
1995,Ndeti CosmasCosmas Ndeti, Kenya,129.3666667,0
1996,Tanui MosesMoses Tanui, Kenya,129.25,0
1997,Aguta LameckLameck Aguta, Kenya,130.5666667,0
1998,Tanui MosesMoses Tanui, Kenya,127.5666667,0
1999,Chebet JosephJoseph Chebet, Kenya,129.8666667,0
2000,Lagat ElijahElijah Lagat, Kenya,129.7833333,0
2001,Lee Bong-Ju, South Korea,129.7166667,0
2002,Rop RodgersRodgers Rop, Kenya,129.0333333,0
2003,Cheruiyot Robert KipkoechRobert Kipkoech Cheruiyot, Kenya,130.1833333,0
2004,Cherigat TimothyTimothy Cherigat, Kenya,130.6166667,0
2005,Negussie HailuHailu Negussie, Ethiopia,131.7333333,0
2006,Cheruiyot Robert KipkoechRobert Kipkoech Cheruiyot, Kenya,127.2333333,0
2007,Cheruiyot Robert KipkoechRobert Kipkoech Cheruiyot, Kenya,134.2166667,0
2008,Cheruiyot Robert KipkoechRobert Kipkoech Cheruiyot, Kenya,127.75,0
2009,Merga DeribaDeriba Merga, Ethiopia,128.7,0
2010,Cheruiyot Robert KipronoRobert Kiprono Cheruiyot, Kenya,125.8666667,0
2011,Mutai GeoffreyGeoffrey Mutai, Kenya,123.0333333,0
2012,Korir WesleyWesley Korir, Kenya,132.6666667,0
2013,Desisa Benti LelisaLelisa Desisa Benti, Ethiopia,130.3666667,0
2014,Meb KeflezighiMeb Keflezighi, United States (CA),128.6166667,0
2015,Desisa Benti LelisaLelisa Desisa Benti, Ethiopia,129.2833333,0
2016,Lemi Berhanu HayleLemi Berhanu Hayle, Ethiopia,132.75,0
2017,Geoffrey Kirui, Kenya,129.6166667,0
1966,Gibb RobertaBobbi Gibb, United States United States (MA),201.6666667,1
1967,Gibb RobertaBobbi Gibb, United States United States (CA),207.2833333,1
1968,Gibb RobertaBobbi Gibb, United States United States (CA),210,1
1969,Berman Sara MaeSara Mae Berman, United States United States (MA),202.7666667,1
1970,Berman Sara MaeSara Mae Berman, United States United States (MA),185.1166667,1
1971,Berman Sara MaeSara Mae Berman, United States United States (MA),188.5,1
1972,Kuscsik NinaNina Kuscsik, United States United States (NY),190.4333333,1
1973,Hansen JacquelineJacqueline Hansen, United States United States (CA),185.9833333,1
1974,Gorman MikiMiki Gorman, United States United States (CA),167.1833333,1
1975,Winter LianeLiane Winter, West Germany,162.4,1
1976,Merritt KimKim Merritt, United States United States (WI),167.1666667,1
1977,Gorman MikiMiki Gorman, United States United States (CA),168.55,1
1978,Barron Gayle S.Gayle Barron, United States United States (GA),164.8666667,1
1979,Benoit JoanJoan Benoit, United States United States (ME),155.25,1
1980,Gareau JacquelineJacqueline Gareau, Canada,154.4666667,1
1981,Roe AllisonAllison Roe, New Zealand,146.7666667,1
1982,Teske CharlotteCharlotte Teske, West Germany,149.55,1
1983,Benoit JoanJoan Benoit, United States United States (ME),142.7166667,1
1984,Moller LorraineLorraine Moller, New Zealand,149.4666667,1
1985,Weidenbach Lisa LarsenLisa Larsen Weidenbach, United States United States (MI),154.1,1
1986,Kristiansen IngridIngrid Kristiansen, Norway,144.9166667,1
1987,Mota RosaRosa Mota, Portugal,145.35,1
1988,Mota RosaRosa Mota, Portugal,144.5,1
1989,Kristiansen IngridIngrid Kristiansen, Norway,144.55,1
1990,Mota RosaRosa Mota, Portugal,145.4,1
1991,Panfil WandaWanda Panfil, Poland,144.3,1
1992,Markova OlgaOlga Markova, Russia,143.7166667,1
1993,Markova OlgaOlga Markova, Russia,145.45,1
1994,Pippig UtaUta Pippig, Germany,141.75,1
1995,Pippig UtaUta Pippig, Germany,145.1833333,1
1996,Pippig UtaUta Pippig, Germany,147.2,1
1997,Roba FatumaFatuma Roba, Ethiopia,146.3833333,1
1998,Roba FatumaFatuma Roba, Ethiopia,143.35,1
1999,Roba FatumaFatuma Roba, Ethiopia,143.4166667,1
2000,Ndereba CatherineCatherine Ndereba, Kenya,146.1833333,1
2001,Ndereba CatherineCatherine Ndereba, Kenya,143.8833333,1
2002,Okayo MargaretMargaret Okayo, Kenya,140.7166667,1
2003,Zakharova SvetlanaSvetlana Zakharova, Russia,145.3166667,1
2004,Ndereba CatherineCatherine Ndereba, Kenya,144.45,1
2005,Ndereba CatherineCatherine Ndereba, Kenya,145.2,1
2006,Jeptoo RitaRita Jeptoo, Kenya,143.6333333,1
2007,Grigoryeva LidiyaLidiya Grigoryeva, Russia,149.3,1
2008,Tune DireDire Tune, Ethiopia,145.4166667,1
2009,Kosgei SalinaSalina Kosgei, Kenya,152.2666667,1
2010,Erkesso TeybaTeyba Erkesso, Ethiopia,146.1833333,1
2011,Kilel CarolineCaroline Kilel, Kenya,142.6,1
2012,Cherop SharonSharon Cherop, Kenya,151.8333333,1
2013,Jeptoo RitaRita Jeptoo, Kenya,146.4166667,1
2014,Jeptoo RitaRita Jeptoo, Kenya,138.95,1
2014,Deba BizuneshBizunesh Deba, Ethiopia,139.9833333,1
2015,Rotich CarolineCaroline Rotich, Kenya,144.9166667,1
2016,Baysa AtsedeAtsede Baysa, Ethiopia,149.3166667,1
2017,Kiplagat EdnaEdna Kiplagat, Kenya,141.8666667,1